"ProfileId","ProfileCat","ConstId","ConstVal","ConstString"
"36","F","10127","0.25900000000000000799360577730112709105014801025390625",""
"38","F","10153","0.000098010000000000005210450126913457324917544610798358917236328125",""
"9","F","23","3270",""
"37","F","10114","1048576",""
"36","F","10128","0.0002390000000000000088783147500492987092002294957637786865234375",""
"38","F","10154","0.000018139999999999999115603277477504207126912660896778106689453125",""
"9","F","24","3050",""
"37","F","10115","0.000121000000000000000241993924898764589670463465154170989990234375",""
"36","F","10129","0.64400000000000001687538997430237941443920135498046875",""
"38","F","10155","0.0000179699999999999990491807155823522634818800725042819976806640625",""
"9","F","25","2830",""
"37","F","10116","0.0000030900000000000000613419905148848698672736645676195621490478515625",""
"36","F","10130","0.00032200000000000002058075931898883936810307204723358154296875",""
"38","F","10156","0.0000148799999999999998348716723217677326829289086163043975830078125",""
"9","F","26","2380",""
"37","F","10117","0.001469999999999999952537965697274557896889746189117431640625",""
"36","F","10131","1.4699999999999999733546474089962430298328399658203125",""
"38","F","10157","0.000115199999999999994786982482342097000582725740969181060791015625",""
"9","F","27","1630",""
"37","F","10118","0.000004740000000000000357253289451353595040927757509052753448486328125",""
"36","F","10132","0.1189999999999999946709294817992486059665679931640625",""
"38","F","10158","0.0000269999999999999989899572561125040692786569707095623016357421875",""
"9","F","28","1010",""
"37","F","10119","0.00919999999999999984456877655247808434069156646728515625",""
"36","F","10133","-0.48899999999999999023003738329862244427204132080078125",""
"38","F","10159","0.0000250200000000000010065559497007825484615750610828399658203125",""
"28","F","10008","3780",""
"37","F","10120","0.0000039400000000000003934547999906445880924366065301001071929931640625",""
"36","F","10134","0.25900000000000000799360577730112709105014801025390625",""
"38","F","10160","0.000036930000000000000478193873387766643645591102540493011474609375",""
"28","F","10009","3570",""
"37","F","10121","0.0013300000000000000190125692967058057547546923160552978515625",""
"36","F","10135","0.0002390000000000000088783147500492987092002294957637786865234375",""
"38","F","10161","0.000115399999999999999648371551419501201962702907621860504150390625",""
"28","F","10010","3360",""
"37","F","10122","1.270000000000000017763568394002504646778106689453125",""
"36","F","10136","0.0000336999999999999992161651973798797143899719230830669403076171875",""
"38","F","10162","0.000013999999999999999789990039189557791132756392471492290496826171875",""
"28","F","10011","2970",""
"37","F","10123","3.3300000000000000710542735760100185871124267578125",""
"36","F","10137","0.000101999999999999999195955668884749911740073002874851226806640625",""
"38","F","10163","0.00002816999999999999964640264027426752591054537333548069000244140625",""
"28","F","10012","2140",""
"37","F","10124","3.020000000000000017763568394002504646778106689453125",""
"36","F","10138","0.00090200000000000002398081733190338127315044403076171875",""
"38","F","10164","0.000010000000000000000818030539140313095458623138256371021270751953125",""
"28","F","10013","1460",""
"37","F","10125","0.004170000000000000095479180117763462476432323455810546875",""
"36","F","10139","0.000033500000000000001131039706336878225556574761867523193359375",""
"38","F","10165","0.0001655000000000000112514164651855708143557421863079071044921875",""
"28","F","10014","2310",""
"37","F","10126","3.810000000000000053290705182007513940334320068359375",""
"36","F","10140","0.000007710000000000000720487038086137232539840624667704105377197265625",""
"38","F","10166","0.00001478000000000000079230892680026698826623032800853252410888671875",""
"28","F","10015","2200",""
"37","F","10127","0.175999999999999989785948173448559828102588653564453125",""
"36","F","10144","0.000001210000000000000061712245556788669631487209699116647243499755859375",""
"38","F","10167","0.0000146700000000000001514240122180154912712168879806995391845703125",""
"28","F","10016","2090",""
"37","F","10128","0.000259000000000000007126244039312723543844185769557952880859375",""
"36","F","10145","0.0003579999999999999740589451402428267101640813052654266357421875",""
"38","F","10168","0.0000074889999999999997871047603681393667329757590778172016143798828125",""
"28","F","10017","1860",""
"37","F","10129","2.060000000000000053290705182007513940334320068359375",""
"36","F","10146","0.0003040000000000000167366120962242348468862473964691162109375",""
"38","F","10169","0.000012579999999999999833071896715441795322476536966860294342041015625",""
"28","F","10018","1230",""
"37","F","10130","0.000235999999999999990167587338163457388873212039470672607421875",""
"36","F","10147","0.00054399999999999999571176356738533286261372268199920654296875",""
"38","F","10170","0.000014320000000000000114322613875561529539481853134930133819580078125",""
"28","F","10019","810",""
"37","F","10131","0",""
"36","F","10148","0.000404999999999999978073095263653158326633274555206298828125",""
"38","F","10171","0.0000062079999999999996851949603249298803575584315694868564605712890625",""
"16","F","17","1099",""
"37","F","10132","0",""
