"SystemName","GroupName","FieldNum","FieldName","FieldValue","Emulate"
"SAB MILLER                    ","2","65","DISABLECROSSTERMHASHJOIN                                                                                                                                                                                                                                        ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","66","DISABLEHASHJOINENH                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","67","DISABLEALLHASHJOINENH                                                                                                                                                                                                                                           ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","68","USEROWKEYOVERSLIDINGWINDOW                                                                                                                                                                                                                                      ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","70","ALLOWCOLAMBIGUITY                                                                                                                                                                                                                                               ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","71","ALLOWNOCONFNJ                                                                                                                                                                                                                                                   ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","72","ENABLECPDIAGNOSTICS                                                                                                                                                                                                                                             ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","73","DISABLECOLUMNAR                                                                                                                                                                                                                                                 ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","74","PARTITIONINGCONSTRAINTFORM                                                                                                                                                                                                                                      ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","75","PPICACHETHRP                                                                                                                                                                                                                                                    ","-1.00                                                                                                                                                                                                                                                           ","Y"
"SAB MILLER                    ","2","76","NUMREADCPCONTEXTS                                                                                                                                                                                                                                               ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","77","NUMWRITECPCONTEXTS                                                                                                                                                                                                                                              ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","78","SIZEWRITECPBUF                                                                                                                                                                                                                                                  ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","79","CPMERGEBLKDELTHRESHOLD                                                                                                                                                                                                                                          ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","80","ALTERBLKDELTHRESHOLD                                                                                                                                                                                                                                            ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","81","CPCFSIZE                                                                                                                                                                                                                                                        ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","82","CPCRACSIZE                                                                                                                                                                                                                                                      ","-1                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","83","CPCRACMAX                                                                                                                                                                                                                                                       ","-1                                                                                                                                                                                                                                                              ","Y"
